id,stateid,state_name,uplift_pct,cost,Comment,cash_transfer,food_subsidy,training_program,nrega_program
83208200,8,Haryana,14.96%,12300,Uplifted 14.96% in Haryana due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
2106070201,21,Rajasthan,14.96%,12500,Uplifted 14.96% in Rajasthan due to Cash Transfer (700) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,700,300,1,1
190103111,19,Odisha,14.96%,12300,Uplifted 14.96% in Odisha due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
2919050101,29,Chandigarh,14.95%,14550,Uplifted 14.95% in Chandigarh due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
928030101,9,Himachal Pradesh,14.95%,11850,Uplifted 14.95% in Himachal Pradesh due to Cash Transfer (700) + Food Subsidy (450) + Nrega Program (1) for 9 months.,700,450,0,1
311130112,3,Assam,14.95%,14550,Uplifted 14.95% in Assam due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
818010101,8,Haryana,14.95%,11850,Uplifted 14.95% in Haryana due to Cash Transfer (700) + Food Subsidy (450) + Nrega Program (1) for 9 months.,700,450,0,1
947010201,9,Himachal Pradesh,14.95%,14550,Uplifted 14.95% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
1707020201,17,Mizoram,14.94%,14550,Uplifted 14.94% in Mizoram due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
291805200,29,Chandigarh,14.94%,16550,Uplifted 14.94% in Chandigarh due to Cash Transfer (1000) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,1000,450,1,1
81405100,8,Haryana,14.92%,13050,Uplifted 14.92% in Haryana due to Cash Transfer (1000) + Food Subsidy (450) for 9 months.,1000,450,0,0
96501100,9,Himachal Pradesh,14.91%,15200,Uplifted 14.91% in Himachal Pradesh due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
50506100,5,Chhattisgarh,14.91%,10350,Uplifted 14.91% in Chhattisgarh due to Cash Transfer (700) + Food Subsidy (450) for 9 months.,700,450,0,0
2211010111,22,Tamil Nadu,14.9%,15900,Uplifted 14.9% in Tamil Nadu due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
191104111,19,Odisha,14.88%,15200,Uplifted 14.88% in Odisha due to Cash Transfer (1000) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,1000,300,1,1
1014010111,10,Jharkhand,14.87%,14550,Uplifted 14.87% in Jharkhand due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
60801131,6,Goa,14.83%,15900,Uplifted 14.83% in Goa due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
2201020111,22,Tamil Nadu,14.83%,15900,Uplifted 14.83% in Tamil Nadu due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
60506211,6,Goa,14.82%,11850,Uplifted 14.82% in Goa due to Cash Transfer (700) + Food Subsidy (450) + Nrega Program (1) for 9 months.,700,450,0,1
191107100,19,Odisha,14.82%,12500,Uplifted 14.82% in Odisha due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 9 months.,1000,0,1,1
2707040121,27,West Bengal,14.82%,17900,Uplifted 14.82% in West Bengal due to Cash Transfer (1000) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,1000,600,1,1
280402111,28,Andaman and Nicobar Islands,14.82%,10500,Uplifted 14.82% in Andaman and Nicobar Islands due to Cash Transfer (1000) + Nrega Program (1) for 9 months.,1000,0,0,1
272501111,27,West Bengal,14.81%,14550,Uplifted 14.81% in West Bengal due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
210702111,21,Rajasthan,14.8%,6000,Uplifted 14.8% in Rajasthan due to Cash Transfer (500) + Nrega Program (1) for 9 months.,500,0,0,1
280212100,28,Andaman and Nicobar Islands,14.8%,14400,Uplifted 14.8% in Andaman and Nicobar Islands due to Cash Transfer (1000) + Food Subsidy (600) for 9 months.,1000,600,0,0
929020103,9,Himachal Pradesh,14.79%,14550,Uplifted 14.79% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
1028020101,10,Jharkhand,14.79%,11850,Uplifted 14.79% in Jharkhand due to Cash Transfer (700) + Food Subsidy (450) + Nrega Program (1) for 9 months.,700,450,0,1
1032080102,10,Jharkhand,14.78%,13200,Uplifted 14.78% in Jharkhand due to Cash Transfer (1000) + Food Subsidy (300) + Nrega Program (1) for 9 months.,1000,300,0,1
914070101,9,Himachal Pradesh,14.78%,15900,Uplifted 14.78% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
90508100,9,Himachal Pradesh,14.77%,15200,Uplifted 14.77% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,1000,300,1,1
170008100,17,Mizoram,14.77%,14550,Uplifted 14.77% in Mizoram due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
826030112,8,Haryana,14.77%,13200,Uplifted 14.77% in Haryana due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
290603100,29,Chandigarh,14.76%,14550,Uplifted 14.76% in Chandigarh due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
2014160111,20,Punjab,14.76%,13200,Uplifted 14.76% in Punjab due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
82501111,8,Haryana,14.73%,7800,Uplifted 14.73% in Haryana due to Cash Transfer (700) + Nrega Program (1) for 9 months.,700,0,0,1
2308060101,23,Telangana,14.72%,13200,Uplifted 14.72% in Telangana due to Cash Transfer (1000) + Food Subsidy (300) + Nrega Program (1) for 9 months.,1000,300,0,1
101405111,10,Jharkhand,14.7%,12300,Uplifted 14.7% in Jharkhand due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
2108080101,21,Rajasthan,14.7%,13200,Uplifted 14.7% in Rajasthan due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
3324050101,33,Lakshadweep,14.69%,11850,Uplifted 14.69% in Lakshadweep due to Cash Transfer (700) + Food Subsidy (450) + Nrega Program (1) for 9 months.,700,450,0,1
2204020111,22,Tamil Nadu,14.68%,15900,Uplifted 14.68% in Tamil Nadu due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
95002100,9,Himachal Pradesh,14.68%,14300,Uplifted 14.68% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (200) + Training Program (1) + Nrega Program (1) for 9 months.,1000,200,1,1
211801111,21,Rajasthan,14.67%,15900,Uplifted 14.67% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
201414100,20,Punjab,14.67%,13050,Uplifted 14.67% in Punjab due to Cash Transfer (1000) + Food Subsidy (450) for 9 months.,1000,450,0,0
211060101,2,Arunachal Pradesh,14.67%,14550,Uplifted 14.67% in Arunachal Pradesh due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
3212050101,32,Delhi,14.66%,14550,Uplifted 14.66% in Delhi due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
965010101,9,Himachal Pradesh,14.64%,16550,Uplifted 14.64% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,1000,450,1,1
210601111,21,Rajasthan,14.64%,15200,Uplifted 14.64% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,1000,300,1,1
3310050111,33,Lakshadweep,14.64%,14550,Uplifted 14.64% in Lakshadweep due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
210801311,21,Rajasthan,14.64%,17900,Uplifted 14.64% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,1000,600,1,1
160007111,16,Meghalaya,14.63%,16550,Uplifted 14.63% in Meghalaya due to Cash Transfer (1000) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,1000,450,1,1
2335030112,23,Telangana,14.63%,13200,Uplifted 14.63% in Telangana due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
233506100,23,Telangana,14.61%,10500,Uplifted 14.61% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 9 months.,1000,0,0,1
1503050201,15,Manipur,14.61%,13200,Uplifted 14.61% in Manipur due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
231502100,23,Telangana,14.6%,16550,Uplifted 14.6% in Telangana due to Cash Transfer (1000) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,1000,450,1,1
232303231,23,Telangana,14.59%,10500,Uplifted 14.59% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 9 months.,1000,0,0,1
618100111,6,Goa,14.59%,11700,Uplifted 14.59% in Goa due to Cash Transfer (700) + Food Subsidy (600) for 9 months.,700,600,0,0
807060201,8,Haryana,14.58%,14550,Uplifted 14.58% in Haryana due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
3315060101,33,Lakshadweep,14.58%,13200,Uplifted 14.58% in Lakshadweep due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
180202200,18,Nagaland,14.57%,14550,Uplifted 14.57% in Nagaland due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
232303271,23,Telangana,14.57%,14300,Uplifted 14.57% in Telangana due to Cash Transfer (1000) + Food Subsidy (200) + Training Program (1) + Nrega Program (1) for 9 months.,1000,200,1,1
31101111,3,Assam,14.56%,16550,Uplifted 14.56% in Assam due to Cash Transfer (1000) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,1000,450,1,1
320607200,32,Delhi,14.56%,8900,Uplifted 14.56% in Delhi due to Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,0,600,1,1
96506200,9,Himachal Pradesh,14.55%,15900,Uplifted 14.55% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
923050101,9,Himachal Pradesh,14.54%,12300,Uplifted 14.54% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
2129020101,21,Rajasthan,14.54%,13200,Uplifted 14.54% in Rajasthan due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
212303100,21,Rajasthan,14.53%,15900,Uplifted 14.53% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
2905330111,29,Chandigarh,14.53%,16550,Uplifted 14.53% in Chandigarh due to Cash Transfer (1000) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,1000,450,1,1
602060101,6,Goa,14.53%,14550,Uplifted 14.53% in Goa due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
211802212,21,Rajasthan,14.53%,14550,Uplifted 14.53% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
291931211,29,Chandigarh,14.53%,14550,Uplifted 14.53% in Chandigarh due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
95902200,9,Himachal Pradesh,14.53%,12300,Uplifted 14.53% in Himachal Pradesh due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
940030101,9,Himachal Pradesh,14.52%,13200,Uplifted 14.52% in Himachal Pradesh due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
208060201,2,Arunachal Pradesh,14.51%,12300,Uplifted 14.51% in Arunachal Pradesh due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
101202111,10,Jharkhand,14.51%,17900,Uplifted 14.51% in Jharkhand due to Cash Transfer (1000) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,1000,600,1,1
220803100,22,Tamil Nadu,14.51%,14550,Uplifted 14.51% in Tamil Nadu due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
2723070101,27,West Bengal,14.51%,11700,Uplifted 14.51% in West Bengal due to Cash Transfer (1000) + Food Subsidy (300) for 9 months.,1000,300,0,0
824030212,8,Haryana,14.5%,12300,Uplifted 14.5% in Haryana due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
815050112,8,Haryana,14.5%,15200,Uplifted 14.5% in Haryana due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
210901211,21,Rajasthan,14.49%,16550,Uplifted 14.49% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,1000,450,1,1
1707030101,17,Mizoram,14.49%,14550,Uplifted 14.49% in Mizoram due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
2926350111,29,Chandigarh,14.49%,15200,Uplifted 14.49% in Chandigarh due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
331203100,33,Lakshadweep,14.49%,14550,Uplifted 14.49% in Lakshadweep due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
2012060101,20,Punjab,14.48%,14550,Uplifted 14.48% in Punjab due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
2013090101,20,Punjab,14.48%,13200,Uplifted 14.48% in Punjab due to Cash Transfer (700) + Food Subsidy (600) + Nrega Program (1) for 9 months.,700,600,0,1
94003100,9,Himachal Pradesh,14.48%,15200,Uplifted 14.48% in Himachal Pradesh due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
210811111,21,Rajasthan,14.47%,12500,Uplifted 14.47% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 9 months.,1000,0,1,1
2713030111,27,West Bengal,14.47%,15900,Uplifted 14.47% in West Bengal due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
211803200,21,Rajasthan,14.46%,10500,Uplifted 14.46% in Rajasthan due to Cash Transfer (1000) + Nrega Program (1) for 9 months.,1000,0,0,1
210903200,21,Rajasthan,14.46%,15200,Uplifted 14.46% in Rajasthan due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
291104200,29,Chandigarh,14.46%,14550,Uplifted 14.46% in Chandigarh due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
90102112,9,Himachal Pradesh,14.45%,10500,Uplifted 14.45% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 9 months.,1000,0,0,1
